[06:07:44] 14/121 seeds have no DOI and cannot be expanded
[06:07:44] backward: no refs for zhao2026automated: HTTP 404 for https://api.crossref.org/works/10.1145/3832783.3834356?mailto=vietanh101003%40gmail.com
[06:07:54] backward: 2330 unseen refs across 107 seeds with a DOI; 1022 refs had no DOI
[06:08:28] backward: 2181 resolved, 6 new, 2171 filtered
[06:08:28] forward: liu2026axiomatic cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: zhao2026automated cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: lommen2026koat cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: feng2026refinement cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: haak2026scalable cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: lw2025compositional cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: bouajjani2025data cited by 1 (1 in window), 0 resolved, 0 new
[06:08:28] forward: blicha2025golem cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: lotan2025implicit cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: beyer2025improvements cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: fijalkow2025monniaux cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: lopez2025polyregular cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: parham2025quantum cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: getachew2025relatively cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: ascari2025turn cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: beutner2025verifying cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: herrmann2025what cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: somorjai2024bottoms cited by 5 (5 in window), 4 resolved, 0 new
[06:08:28] forward: frenkel2024efficient cited by 2 (2 in window), 2 resolved, 0 new
[06:08:28] forward: hague2024parikh cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: zilberstein2024probabilistic cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: coutelier2024sat cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: bonnet2024twin cited by 0 (0 in window), 0 resolved, 0 new
[06:08:28] forward: eilers2024verification cited by 6 (6 in window), 3 resolved, 0 new
[06:08:28] forward: bruni2023correctness cited by 0 (0 in window), 0 resolved, 0 new
[06:08:29] forward: chen2023theory cited by 14 (14 in window), 13 resolved, 2 new
[06:08:29] forward: elad2023infinite cited by 5 (5 in window), 3 resolved, 0 new
[06:08:29] forward: hsu2023bounded cited by 9 (9 in window), 6 resolved, 0 new
[06:08:29] forward: je2023decisiona cited by 0 (0 in window), 0 resolved, 0 new
[06:08:29] forward: hsu2023efficient cited by 0 (0 in window), 0 resolved, 0 new
[06:08:29] forward: garciacontreras2023fast cited by 8 (8 in window), 4 resolved, 0 new
[06:08:29] forward: dreier2023first cited by 10 (10 in window), 8 resolved, 0 new
[06:08:29] forward: heckingharbusch2023formal cited by 1 (1 in window), 1 resolved, 0 new
[06:08:29] forward: felicissimo2023generic cited by 0 (0 in window), 0 resolved, 0 new
[06:08:30] forward: beutner2023hyperatl cited by 15 (15 in window), 12 resolved, 2 new
[06:08:30] forward: szab2023incrementalizing cited by 12 (12 in window), 9 resolved, 0 new
[06:08:30] forward: akshay2023mdps cited by 3 (3 in window), 2 resolved, 0 new
[06:08:33] forward: beutner2023second cited by 22 (22 in window), 19 resolved, 0 new
[06:08:34] forward: bajwa2023stack cited by 5 (5 in window), 1 resolved, 0 new
[06:08:34] forward: li2023symmetric cited by 12 (12 in window), 6 resolved, 0 new
[06:08:36] forward: blicha2023golem cited by 15 (15 in window), 14 resolved, 2 new
[06:08:36] forward: chen2022constructive cited by 0 (0 in window), 0 resolved, 0 new
[06:08:36] forward: paulsen2022linsyn cited by 0 (0 in window), 0 resolved, 0 new
[06:08:39] forward: beutner2022software cited by 40 (40 in window), 31 resolved, 1 new
[06:08:39] forward: chatterjee2022sound cited by 0 (0 in window), 0 resolved, 0 new
[06:08:39] forward: peng2021algebraic cited by 12 (12 in window), 8 resolved, 0 new
[06:08:40] forward: poncedelen2021dartagnan cited by 9 (9 in window), 8 resolved, 2 new
[06:08:40] forward: boroujeni2021deductive cited by 0 (0 in window), 0 resolved, 0 new
[06:08:40] forward: mahmood2021parameterised cited by 12 (12 in window), 8 resolved, 0 new
[06:08:40] forward: eilers2021product cited by 0 (0 in window), 0 resolved, 0 new
[06:08:40] forward: matsushita2021rusthorn cited by 0 (0 in window), 0 resolved, 0 new
[06:08:41] forward: peyras2021sound cited by 4 (4 in window), 3 resolved, 1 new
[06:08:41] forward: moura2021lean cited by 0 (0 in window), 0 resolved, 0 new
[06:08:41] forward: timany2021trillium cited by 13 (13 in window), 9 resolved, 0 new
[06:08:41] forward: bonnet2021twin cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: andrianov2021cpalockator cited by 9 (9 in window), 8 resolved, 0 new
[06:08:43] forward: kabanets2020algorithms cited by 4 (4 in window), 1 resolved, 0 new
[06:08:43] forward: pagel2020strong cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: schemmel2020symbolic cited by 13 (13 in window), 11 resolved, 0 new
[06:08:43] forward: mathur2020what cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: finkbeiner2019model cited by 31 (31 in window), 27 resolved, 0 new
[06:08:43] forward: dosualdo2019tada cited by 9 (9 in window), 5 resolved, 0 new
[06:08:43] forward: ekici2019verifying cited by 1 (1 in window), 1 resolved, 0 new
[06:08:43] forward: kong2018delta cited by 12 (12 in window), 9 resolved, 0 new
[06:08:43] forward: dailler2018lightweight cited by 8 (8 in window), 8 resolved, 0 new
[06:08:43] forward: tonetta2017linear cited by 4 (4 in window), 4 resolved, 0 new
[06:08:43] forward: bozzelli2017complexity cited by 6 (6 in window), 4 resolved, 0 new
[06:08:43] forward: fijalkow2017semialgebraic cited by 5 (5 in window), 3 resolved, 0 new
[06:08:43] forward: subramanian2016solver cited by 4 (4 in window), 4 resolved, 0 new
[06:08:43] forward: daca2016array cited by 17 (17 in window), 10 resolved, 0 new
[06:08:43] forward: birkedal2016guarded cited by 16 (16 in window), 16 resolved, 0 new
[06:08:43] forward: zhang2016lightdp cited by 53 (50 in window), 47 resolved, 0 new
[06:08:43] forward: pham2016reasoning cited by 16 (16 in window), 13 resolved, 0 new
[06:08:43] forward: reynolds2016reasoning cited by 9 (9 in window), 5 resolved, 0 new
[06:08:43] forward: gajarsk2015model cited by 26 (26 in window), 13 resolved, 0 new
[06:08:43] forward: jacobs2015featherweight cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: bansal2015deciding cited by 15 (15 in window), 11 resolved, 0 new
[06:08:43] forward: bakst2015predicate cited by 6 (6 in window), 4 resolved, 0 new
[06:08:43] forward: demri2014expressive cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: joshi2014property cited by 13 (13 in window), 12 resolved, 0 new
[06:08:43] forward: nguyen2014relatively cited by 27 (27 in window), 20 resolved, 0 new
[06:08:43] forward: bersani2013deciding cited by 10 (10 in window), 9 resolved, 0 new
[06:08:43] forward: huuck2013formal cited by 2 (2 in window), 2 resolved, 0 new
[06:08:43] forward: pous2013kleene cited by 31 (31 in window), 27 resolved, 0 new
[06:08:43] forward: kobayashi2013model cited by 0 (0 in window), 0 resolved, 0 new
[06:08:43] forward: chang2013modular cited by 16 (16 in window), 16 resolved, 0 new
[06:08:43] forward: hou2013proof cited by 11 (11 in window), 8 resolved, 0 new
[06:08:46] forward: smans2012implicit cited by 49 (49 in window), 44 resolved, 5 new
[06:08:46] forward: madelaine2012complexity cited by 5 (5 in window), 3 resolved, 0 new
[06:08:46] forward: calcagno2011compositional cited by 0 (0 in window), 0 resolved, 0 new
[06:08:49] forward: pratikakis2011locksmith cited by 97 (50 in window), 49 resolved, 1 new
[06:08:49] forward: axelsson2010extended cited by 8 (8 in window), 8 resolved, 0 new
[06:08:49] forward: monniaux2009floating cited by 16 (16 in window), 16 resolved, 0 new
[06:08:52] forward: aehlig2007finite cited by 31 (31 in window), 27 resolved, 4 new
[06:08:52] forward: bulatov2006dichotomy cited by 0 (0 in window), 0 resolved, 0 new
[06:08:52] forward: detlefs2005simplify cited by 0 (0 in window), 0 resolved, 0 new
[06:08:52] forward: clarke2003counterexample cited by 0 (0 in window), 0 resolved, 0 new
[06:08:55] forward: kupferman2000automata cited by 321 (50 in window), 50 resolved, 4 new
[06:08:58] forward: giacobazzi2000making cited by 209 (50 in window), 44 resolved, 6 new
[06:08:58] forward: flum1999fixed cited by 105 (50 in window), 32 resolved, 0 new
[06:09:01] forward: clarke1994model cited by 777 (50 in window), 50 resolved, 3 new
[06:09:04] forward: grumberg1994model cited by 367 (50 in window), 48 resolved, 6 new
[06:09:04] forward: apt1986countable cited by 0 (0 in window), 0 resolved, 0 new
[06:09:08] forward: nelson1980fast cited by 357 (50 in window), 47 resolved, 3 new
[06:09:08] forward: nelson1979simplification cited by 0 (0 in window), 0 resolved, 0 new
[06:09:10] forward: cook1978soundness cited by 330 (50 in window), 40 resolved, 0 new
[06:09:10] forward: ferrante1975decision cited by 0 (0 in window), 0 resolved, 0 new
[06:09:10] forward: 42 new, 871 filtered
[06:09:11] snowball added 48; library 3164: {'candidate': 3014, 'included': 121, 'excluded': 12, 'unavailable': 17}
