[03:00:46] 19/138 seeds have no DOI and cannot be expanded
[03:00:46] backward: no refs for zhao2026automated: HTTP 404 for https://api.crossref.org/works/10.1145/3832783.3834356?mailto=vietanh101003%40gmail.com
[03:00:46] backward: 2589 unseen refs across 119 seeds with a DOI; 1190 refs had no DOI
[03:01:24] backward: 2426 resolved, 17 new, 2405 filtered
[03:01:57] forward: kong2018delta cited by 12 (12 in window), 9 resolved, 0 new
[03:02:00] forward: maza2018fast cited by 28 (28 in window), 24 resolved, 0 new
[03:02:00] forward: dailler2018lightweight cited by 8 (8 in window), 7 resolved, 0 new
[03:02:02] forward: zhan2018verifying cited by 8 (8 in window), 7 resolved, 1 new
[03:02:06] forward: ngo2017bounded cited by 28 (28 in window), 27 resolved, 1 new
[03:02:06] forward: tonetta2017linear cited by 4 (4 in window), 4 resolved, 0 new
[03:02:06] forward: bozzelli2017complexity cited by 6 (6 in window), 4 resolved, 0 new
[03:02:06] forward: fijalkow2017semialgebraic cited by 5 (5 in window), 3 resolved, 0 new
[03:02:06] forward: subramanian2016solver cited by 4 (4 in window), 4 resolved, 0 new
[03:02:06] forward: daca2016array cited by 17 (17 in window), 10 resolved, 0 new
[03:02:06] forward: birkedal2016guarded cited by 16 (16 in window), 16 resolved, 0 new
[03:02:06] forward: zhang2016lightdp cited by 53 (50 in window), 47 resolved, 0 new
[03:02:07] forward: pham2016reasoning cited by 16 (16 in window), 14 resolved, 0 new
[03:02:07] forward: reynolds2016reasoning cited by 9 (9 in window), 5 resolved, 0 new
[03:02:07] forward: gajarsk2015model cited by 26 (26 in window), 13 resolved, 0 new
[03:02:07] forward: jacobs2015featherweight cited by 0 (0 in window), 0 resolved, 0 new
[03:02:07] forward: bansal2015deciding cited by 15 (15 in window), 11 resolved, 0 new
[03:02:07] forward: bakst2015predicate cited by 6 (6 in window), 4 resolved, 0 new
[03:02:07] forward: demri2014expressive cited by 0 (0 in window), 0 resolved, 0 new
[03:02:07] forward: joshi2014property cited by 13 (13 in window), 12 resolved, 0 new
[03:02:07] forward: nguyen2014relatively cited by 27 (27 in window), 20 resolved, 0 new
[03:02:07] forward: bersani2013deciding cited by 10 (10 in window), 9 resolved, 0 new
[03:02:07] forward: huuck2013formal cited by 2 (2 in window), 2 resolved, 0 new
[03:02:07] forward: pous2013kleene cited by 31 (31 in window), 27 resolved, 0 new
[03:02:07] forward: kobayashi2013model cited by 0 (0 in window), 0 resolved, 0 new
[03:02:07] forward: chang2013modular cited by 16 (16 in window), 16 resolved, 0 new
[03:02:07] forward: hou2013proof cited by 11 (11 in window), 8 resolved, 0 new
[03:02:09] forward: smans2012implicit cited by 49 (49 in window), 37 resolved, 0 new
[03:02:09] forward: madelaine2012complexity cited by 5 (5 in window), 3 resolved, 0 new
[03:02:09] forward: calcagno2011compositional cited by 0 (0 in window), 0 resolved, 0 new
[03:02:11] forward: pratikakis2011locksmith cited by 97 (50 in window), 46 resolved, 0 new
[03:02:11] forward: axelsson2010extended cited by 8 (8 in window), 8 resolved, 0 new
[03:02:11] forward: monniaux2009floating cited by 16 (16 in window), 16 resolved, 0 new
[03:02:11] forward: aehlig2007finite cited by 31 (31 in window), 23 resolved, 0 new
[03:02:11] forward: bulatov2006dichotomy cited by 0 (0 in window), 0 resolved, 0 new
[03:02:11] forward: detlefs2005simplify cited by 0 (0 in window), 0 resolved, 0 new
[03:02:11] forward: clarke2003counterexample cited by 0 (0 in window), 0 resolved, 0 new
[03:02:14] forward: kupferman2000automata cited by 321 (50 in window), 46 resolved, 0 new
[03:02:17] forward: giacobazzi2000making cited by 209 (50 in window), 37 resolved, 0 new
[03:02:17] forward: flum1999fixed cited by 105 (50 in window), 32 resolved, 0 new
[03:02:20] forward: clarke1994model cited by 777 (50 in window), 46 resolved, 0 new
[03:02:21] forward: grumberg1994model cited by 367 (50 in window), 42 resolved, 0 new
[03:02:21] forward: apt1986countable cited by 0 (0 in window), 0 resolved, 0 new
[03:02:23] forward: nelson1980fast cited by 357 (50 in window), 43 resolved, 0 new
[03:02:23] forward: nelson1979simplification cited by 0 (0 in window), 0 resolved, 0 new
[03:02:24] forward: cook1978soundness cited by 330 (50 in window), 41 resolved, 0 new
[03:02:24] forward: ferrante1975decision cited by 0 (0 in window), 0 resolved, 0 new
[03:02:24] forward: 9 new, 1023 filtered
[03:02:24] snowball added 26; library 3213: {'candidate': 3046, 'included': 138, 'excluded': 12, 'unavailable': 17}
